Vendor,VendorNo,SingleAmt,AggregateAmt,Division,QuestionnaireDate,STATUS,TradeDescription,RequestFirstDate,RequestSecondDate,RequestThirdDate,Chk_ProjHistory,Chk_Financials,Chk_BackLog,Chk_SalesHistory,Chk_BondHistory,Chk_ProjectList,Chk_KeyOfficer,Chk_OSHA_Log,Chk_Questionnaire,ZeroHarmQ,VendorEmail,VendorAddr,VendorCity,VendorState,VendorZip,ExpirationDate,CurrBal,MinorityStatus,Folder,VendorTaxID,vendorrank,QR,SR,HR,CR,QnLink,QProjects,PrjCnt,CmpltCnt,WatchList,WatchListPeople,RecID,PLookupVID,TypicalJobSize
Kember Interiors Inc.,0,1500000,3000000,Texas,11/11/2021,Expired,Div 06 - Carpentry,6/23/2022,7/29/2022,12/13/2022,1,1,1,1,1,1,1,1,1,YES,richard@kemberinc.com,4144 Lyle Road,Beaverton,MI,48612,06/30/2022,0,,KEMBERINTE_35-2552893\2022,NULL,NULL,NULL,NULL,NULL,NULL,21315a288026,2,0,0,N,,35959,0,0
"Cap Innovative Design, LLC",0,0,0,"Washington, D.C.",12/22/2021,Negotiating,Div 09 - Finishes,12/29/2021,1/13/2022,8/2/2022,1,1,1,1,1,1,1,1,1,YES,estimating@capinnd.com,"80 M Street, SE Suite 02-206.",Washington,DC,20003,NULL,0,MOB;S/DBE;SB;SDB,CAPINNOVAT_81-2289865\2021,NULL,NULL,NULL,NULL,NULL,NULL,21356a289516,0,0,0,N,,36085,0,0
"Stonebridge Civil, LLC",0,0,0,"Washington, D.C.",12/29/2021,Negotiating,Div 03 - Concrete,1/7/2022,3/7/2022,7/25/2022,1,1,1,1,1,1,1,1,1,YES,andre@stonebridgecivil.com,20725 Erskine terrace,Ashburn,VA,20147,NULL,0,DBE;MOB;SDB,STONEBRIDG_47-3484359\2021,NULL,NULL,NULL,NULL,NULL,NULL,21363a289176,0,0,0,N,,36095,0,0
"Vanderlande Industries, Inc.",0,30000000,40000000,Carolinas,01/06/2022,Expired,Div 14 - Conveying,7/27/2022,9/20/2022,11/21/2022,1,1,1,1,1,1,1,1,1,YES,art.masri@vanderlande.com,1828 West Oak Parkway,Marietta,FL,30062,07/31/2022,0,,VANDERLAND_98-0182968\2022,NULL,NULL,NULL,NULL,NULL,NULL,22006a289886,3,0,0,N,,36115,0,0
Down To Earth Landscape & Irrigation,0,0,0,Florida,01/07/2022,Negotiating,NULL,NULL,NULL,NULL,1,1,1,1,1,1,1,1,1,YES,joshua.shirley@down2earthinc.com,2701 Maitland Center Pkwy Suite 200,Maitland,FL,32751,NULL,0,,DOWNTOEART_38-4006336\2022,NULL,NULL,NULL,NULL,NULL,NULL,22007a286426,0,0,0,N,,36121,0,0
"Austin Rock Construction, Inc. dba Choate USA",0,1500000,3000000,Texas,01/20/2022,Expired,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,sarahb@choateusa.com,"6505 W Park Blvd, Ste 306-359",Plano,TX,75093,04/30/2024,0,,AUSTINROCK_75-2933540\2022,NULL,NULL,NULL,NULL,NULL,NULL,22020a287806,4,0,0,N,,36164,0,0
"Harris Carpets & Linoleum, Inc.",0,750000,750000,Carolinas,01/27/2022,Expired,Div 09 - Finishes,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,jbrissey@discoverharris.com,51 Civic Center Blvd. Ext.,Anderson,SC,29625,04/30/2023,0,SB,HARRISCARP_57-0515300\2022,NULL,NULL,NULL,NULL,NULL,NULL,22027a290696,0,0,0,N,,36186,0,0
Art Deck Inc,0,0,0,California,01/28/2022,Negotiating,Div 03 - Concrete,2/1/2022,2/25/2022,12/13/2022,1,1,1,1,1,1,1,1,1,YES,lisa@waterproofing.net,20800 Dearborn Street,Chatsworth,CA,91311,04/30/2021,0,HUbZone;MOB,ARTDECKINC_95-4720370\2020,NULL,NULL,NULL,NULL,NULL,NULL,22028a290476,0,0,0,N,,36192,0,0
"Urban Construction, Inc.",0,1500000,1500000,Carolinas,02/02/2022,Expired,Div 03 - Concrete,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,can@urbanconstructioninc.com,"4332 22nd Street, Suite 403",Long Island City,NY,11101,04/30/2023,0,MOB;SB;WOB,URBANCONST_45-2623371\2022,NULL,NULL,NULL,NULL,NULL,NULL,22033a289546,0,0,0,N,,36221,0,0
"Kinsley Steel, Inc.",0,2000000,4000000,"Washington, D.Cc.",05082023,Expired,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,NULL,NULL,-na-,-na-,-na-,-na-,04/30/2024,0,,KINSLEYSTE_87-3345949\2023,NULL,NULL,NULL,NULL,NULL,NULL,22033a290826,0,0,0,N,,39076,0,0
"Global Finishing Solutions, LLC",0,5000000,7000000,"Washington, D.C.",02032022,Negotiating,Div 10 - Specialties,4/15/2022,NULL,NULL,0,1,0,0,0,0,0,0,0,Yes,wblount@globalfinishing.com,12731 Norway Road,Osseo,WI,54758,04/30/2022,0,,GLOBALFINI_83-0348304\2022,NULL,NULL,NULL,NULL,NULL,NULL,22034a290976,0,0,0,N,,36243,0,0
"Color-Ad, Inc.",0,1000000,1500000,"Washington, D.C.",02/03/2022,Finaled,Div 10 - Specialties,NULL,NULL,NULL,1,1,1,1,1,1,1,1,1,YES,skrao@color-ad.com,7200 Gary Road,Manassas,VA,20109,01/31/2025,0,MOB;WOB,COLORADINC_54-0788657\2022,NULL,NULL,NULL,NULL,NULL,NULL,22034a291076,0,0,0,N,,36224,0,0
"Solomon Group Entertainment, LLC",0,0,0,California,02/04/2022,Negotiating,Div 11 - Equipment,2/7/2022,5/3/2022,9/19/2022,0,0,0,0,0,0,0,0,0,YES,dana.worthington@solomongroup.com,825 GIROD ST,New Orleans,LA,70113,NULL,0,,SOLOMONGRO_45-2497756\2022,NULL,NULL,NULL,NULL,NULL,NULL,22035a291546,0,0,0,N,,36241,0,0
E Contracting,0,0,0,"Washington, D.C.",02/17/2022,Negotiating,Div 02 - Site Conditions,NULL,NULL,NULL,1,1,1,1,1,1,1,1,1,YES,tpereira@etruckingandservices.com,4137 WEEKS DRIVE,WAON - WARRENTON,VA,20187,NULL,0,DBE;MOB,ECONTRACTI_83-2953606\2022,NULL,NULL,NULL,NULL,NULL,NULL,22048a292466,4,0,0,N,,36319,0,0
"Smith's Refrigeration, Inc.",0,1500000,2000000,Carolinas,03/15/2022,Expired,Div 15 - Mechanical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,accounting@smithsrefrigeration.com,"170 Flair Fold Drive (Shipping Only), PO Box 1468",Lumberton,NC,28359,04/30/2023,0,,SMITHSREFR_56-0887462\2022,NULL,NULL,NULL,NULL,NULL,NULL,22074a293076,0,0,0,N,,36435,0,0
"Sunbelt Waterproofing & Restoration, LLC",0,0,0,Texas,03/15/2022,Negotiating,Div 07 - Thermal and Moisture Protection,3/16/2022,5/27/2022,NULL,1,1,1,1,1,1,1,1,1,YES,adam@sunbeltllc.com,7318 Ferguson Rd,Dallas,TX,75228,NULL,0,,SUNBELTWAT_86-3381645\2022,NULL,NULL,NULL,NULL,NULL,NULL,22074a293996,0,0,0,N,,36437,0,0
"Fine Line Electric, Inc.",0,3000000,3000000,Florida,03/18/2022,Expired,Div 16 - Electrical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,mghent@finelinecorp.com,3071 N Dixie Hwy,Pompano Beach,FL,33064,04/30/2023,0,,FINELINEEL_65-0781847\2022B,NULL,NULL,NULL,NULL,NULL,NULL,22077a294306,0,0,0,N,,36461,0,0
"East Coast Contracting, Inc.",0,0,0,Carolinas,03/23/2022,Negotiating,Div 02 - Site Conditions,3/23/2022,5/3/2022,12/13/2022,1,1,1,1,1,1,1,1,1,YES,dkruse@eccwilm.com,3224-C N. COLLEGE RD.  PMB#209,WILMINGTON,NC,28405,NULL,0,D/WBE;HUbZone;WOB,EASTCOASTC_86-1068519\2022,NULL,NULL,NULL,NULL,NULL,NULL,22082a152466,0,0,0,N,,36512,0,0
"Ecoservices, LLC",0,500000,500000,All Other Locations,03/24/2022,Negotiating,Div 02 - Site Conditions,5/31/2022,7/13/2022,12/13/2022,1,1,1,1,1,1,1,1,1,YES,jwhite@eco-pa.com,303 B National Road,Exton,PA,19341,04/30/2022,0,,ECOSERVICE_26-4444447\2022,NULL,NULL,NULL,NULL,NULL,NULL,22083a294056,0,0,0,N,,36539,0,0
"Lee Hartman and Sons, Inc.",0,2000000,2000000,Carolinas,03/29/2022,Expired,Div 11 - Equipment,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,shartman@leehartman.com,3236 Cove Rd NW,Roanoke,VA,24017,04/30/2023,0,SB,LEEHARTMAN_54-0716361\2022,NULL,NULL,NULL,NULL,NULL,NULL,22088a295886,0,0,0,N,,36577,0,0
Atlantic Commercial Caseworks,0,1000000,1500000,Carolinas,03/29/2022,Finaled,Div 12 - Furnishings,NULL,NULL,NULL,1,1,1,1,1,1,1,1,1,YES,nat@atlanticcaseworks.com,4700 Rozzelles Ferry Rd,Charlotte,NC,28216,04/30/2025,0,,ATLANTICCO_20-0207057\2022,NULL,NULL,NULL,NULL,NULL,NULL,22088a296286,4,0,0,N,,36597,0,0
"Hi-Way Paving, Inc.",0,8000000,8000000,Carolinas,03/30/2022,Expired,Div 32 - Sitework,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,mbowman@hiwaypaving.com,4343 Weaver Court North,Hilliard,OH,43026,04/30/2024,0,,HIWAYPAVIN_31-1257382\2022,NULL,NULL,NULL,NULL,NULL,NULL,22089a296456,0,0,0,N,,36616,0,0
"American Integrated Services, Inc.",0,7000000,10000000,California,04/05/2022,Expired,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,lhuizenga@americanintegrated.com,1502 E Opp St.,Wilmington,CA,90744,04/30/2024,0,MOB,AMERICANIN_95-4698255\2022,NULL,NULL,NULL,NULL,NULL,NULL,22095a297856,0,0,0,N,,36708,0,0
"HSCC, Inc.",0,1000000,2000000,California,04/06/2022,Expired,Div 03 - Concrete,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,mhostetler@hsccbuilders.com,12101 Lakeside Ave.,Lakeside,CA,92040,04/30/2024,0,SBE;WOB,HSCCINC_46-5354601\2022,NULL,NULL,NULL,NULL,NULL,NULL,22096a298206,1,0,0,N,,36723,0,0
"Milestone Contractors, Inc. dba N.V. Heathorn Company",0,2500000,4000000,California,04/11/2022,Finaled,Div 15 - Mechanical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,spedro@nvheathorn.com,1980 Olivera Rd. Suite C,Concord,CA,94520,04/30/2025,0,Fed Small;SBE,NVHEATHORN_94-3321276\2022,NULL,NULL,NULL,NULL,NULL,NULL,22101a297576,0,0,0,N,,36794,0,0
"Power One, LLC",0,500000,500000,California,04/11/2022,Expired,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,dmcskimming@power1ais.com,"2550 East Miraloma Way, Suite #200",Anaheim,CA,92806,04/30/2023,0,DVBE;MOB;SBE,POWERONELL_82-2922386\2022B,NULL,NULL,NULL,NULL,NULL,NULL,22101a299086,0,0,0,N,,36796,0,0
Amundsen Commercial Kitchens,0,2000000,4000000,Texas,04/11/2022,Expired,Div 11 - Equipment,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,tom@afeok.com,1740 W. Main St.,Oklahoma City,OK,73106,04/30/2024,0,,AMUNDSENCO_73-0760066\2022,NULL,NULL,NULL,NULL,NULL,NULL,22101a299216,0,0,0,N,,36801,0,0
"Brazos Commercial Roofing, LLC",0,1000000,1000000,Texas,04/11/2022,Expired,Div 07 - Thermal and Moisture Protection,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,D.Galloway@Brazos-Industries.com,113 E Main Street,Clute,TX,77531,04/30/2023,0,VET,BRAZOSCOMM_82-1863311\2022,NULL,NULL,NULL,NULL,NULL,NULL,22101a299356,0,0,0,N,,36809,0,0
"Pickens Contracting, Inc.",0,0,0,Carolinas,04/12/2022,Negotiating,Div 07 - Thermal and Moisture Protection,4/13/2022,5/27/2022,1/4/2023,1,1,1,1,1,1,1,1,1,YES,marissa.remillard@pickenscontracting.com,1111 Berry Shoals Road,Greer,SC,29651,NULL,0,,PICKENSCON_57-0481031\2022,NULL,NULL,NULL,NULL,NULL,NULL,22102a298156,1,0,0,N,,36841,0,0
Pro-Cal Lighting Inc.,0,500000,500000,California,04/15/2022,Expired,Div 16 - Electrical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,bmorales@procallighting.com,1155 S. Santa Fe Ave STE A,Vista,CA,92083,04/30/2023,0,DBE;SBA;SDVOSB,PROCALLIGH_47-2928525\2022,NULL,NULL,NULL,NULL,NULL,NULL,22105a297906,0,0,0,N,,36901,0,0
"Century Contractors, Inc.",0,15000000,22000000,Carolinas,04/18/2022,Expired,Div 15 - Mechanical,9/21/2023,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,hsmith@centurycontractors.com,5100 Smith Farm Rd,Matthews,NC,28104,04/30/2023,0,,CENTURYCON_59-1654820\2022B,NULL,NULL,NULL,NULL,NULL,NULL,22108a300776,0,0,0,N,,36916,0,0
"R & R Controls, Inc.",0,500000,750000,California,04/18/2022,Expired,Div 23 - HVAC,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,RICK@RRCONTROLS.COM,4564 B ALVARADO CANYON ROAD,SAN DIEGO,CA,92120,04/30/2023,0,SB,RRCONTROLS_33-0634368\2022,NULL,NULL,NULL,NULL,NULL,NULL,22108a301066,0,0,0,N,,36932,0,0
"Stratacore Construction, LLC",0,0,0,Carolinas,04/19/2022,Negotiating,NULL,NULL,NULL,NULL,1,1,1,1,1,1,1,1,1,YES,snickerson@stratacoreconstruction.com,3022 S Morgans Point Rd #179,Mount Pleasant,SC,29466,NULL,0,,STRATACORE_87-3513625\2022,NULL,NULL,NULL,NULL,NULL,NULL,22109a297936,0,0,0,N,,36936,0,0
"KWH Constructors, Inc.",0,500000,500000,Washington,04/19/2022,Expired,Div 05 - Metals,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,tvanderlinden@kwhconstructors.com,1105 12th Ave NW,Issaquah,WA,98027,04/30/2023,0,,KWHCONSTRU_33-1223355\2022B,NULL,NULL,NULL,NULL,NULL,NULL,22109a299306,0,0,0,N,,36943,0,0
Modern Air Mechanical,0,3000000,5000000,California,04/19/2022,Expired,Div 15 - Mechanical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,Est@Modernair.biz,2200 Cooper Ave,Merced,CA,95348,04/30/2023,0,,MODERNAIRM_77-0198635\2023,NULL,NULL,NULL,NULL,NULL,NULL,22109a300046,0,0,0,N,,36956,0,0
James McMinn Inc.,0,2500000,4000000,California,04/20/2022,Expired,Div 01 - General Requirements,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,rick@jmige.com,21834 Cactus Ave,Riverside,CA,92518,04/30/2023,0,Fed Small;HUbZone,JAMESMCMIN_43-2074888\2023,NULL,NULL,NULL,NULL,NULL,NULL,22110a299176,1,0,0,N,,36968,0,0
"Ruby-Collins, Inc.",0,18000000,25000000,Georgia,04/21/2022,Finaled,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,ncarr@ruby-collins.com,4875 Martin Court,Smyrna,GA,30082,04/30/2025,0,,RUBYCOLLIN_61-0709337\2022B,NULL,NULL,NULL,NULL,NULL,NULL,22111a301626,0,0,0,N,,37007,0,0
"Dixie Construction Company dba DXI Construction, Inc.",0,15000000,20000000,"Washington, D.C.",04/22/2022,Expired,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,jreider@dxiconstruction.com,260 Hopewell Road,Churchville,MD,21028,04/30/2023,0,,DIXIECONST_52-1296506\2022,NULL,NULL,NULL,NULL,NULL,NULL,22112a302136,0,0,0,N,,37042,0,0
Pro Line Panel Systems,0,1500000,2250000,Texas,04/26/2022,Expired,Div 07 - Thermal and Moisture Protection,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,gary@prolinepanels.com,2971 E. Highway 175,Kaufman,TX,75142,04/30/2023,0,SB,PROLINEPAN_45-0586730\2022,NULL,NULL,NULL,NULL,NULL,NULL,22116a299836,0,0,0,N,,37091,0,0
"Progressive Concrete, LLC",0,0,0,Texas,04/26/2022,Negotiating,Div 03 - Concrete,4/27/2022,7/29/2022,NULL,1,1,1,1,1,1,1,1,1,YES,MHernandez@progressive-concretellc.com,3855 Chapman Bluff Drive,Spring,TX,77386,NULL,0,,PROGRESSIV_82-4456541\2022,NULL,NULL,NULL,NULL,NULL,NULL,22116a302676,0,0,0,N,,37087,0,0
"Phillips and Jordan, Inc.",0,30000000,40000000,Florida,04/27/2022,Expired,Div 02 - Site Conditions,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,flestimate@pandj.com,"30115 SR52, Suite 301",San Antonio,FL,33576,04/30/2023,0,WOB,PHILLIPSAN_56-0694573\2022,NULL,NULL,NULL,NULL,NULL,NULL,22117a302166,4,0,0,N,,37128,0,0
idX Corporation,0,8000000,12000000,California,04/27/2022,Finaled,Div 06 - Carpentry,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,bruce.moco@idxcorporation.com,2801 E. Beltline Ave NE,Grand Rapids,MI,49525,04/30/2025,0,,IDXCORPORA_04-3480948\2022,NULL,NULL,NULL,NULL,NULL,NULL,22117a303026,0,0,0,N,,37112,0,0
"TSI Global Companies, LLC",0,1000000,1000000,Carolinas,04/28/2022,Expired,Div 27 - Communications,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,rolsen@tsi-global.com,4725 Corporate Dr. NW,Concord,NC,28206,04/30/2023,0,Native American,TSIGLOBALC_26-0316754\2022,NULL,NULL,NULL,NULL,NULL,NULL,22118a302596,0,0,0,N,,37165,0,0
"York Bridge Concepts, Inc.",0,850000,1000000,Florida,04/29/2022,Expired,Div 34 - Transportation,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,vlenoble@ybc.com,2423 BRUNELLO TRACE,LUTZ,FL,33558,04/30/2023,0,,YORKBRIDGE_59-2830154\2022B,NULL,NULL,NULL,NULL,NULL,NULL,22119a303666,1,0,0,N,,37198,0,0
"Triamp Group, Inc DBA Agility AVL",0,750000,750000,Washington,05/06/2022,Expired,Div 27 - Communications,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,ACCOUNTING@AGILITYAVL.COM,6808 26TH ST E STE 102,FIFE,WA,98424,04/30/2023,0,,TRIAMPGROU_71-0912627\2022,NULL,NULL,NULL,NULL,NULL,NULL,22126a302856,1,0,0,N,,37315,0,0
Franklin Mechanical Systems Inc.,0,1500000,3000000,California,05/06/2022,Finaled,Div 22 - Plumbing,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,seth@fmshvac.net,185 W. 4th St.,Beaumont,CA,92223,04/30/2025,0,SBE,FRANKLINME_26-1355727\2022,NULL,NULL,NULL,NULL,NULL,NULL,22126a304736,3,0,0,N,,37302,0,0
"Pacific Erectors, Inc.",0,8000000,12000000,California,05/16/2022,Finaled,Div 05 - Metals,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,kellyl@pacificerectors.com,4460 Yankee Hill Rd,Rocklin,CA,95677,04/30/2025,0,,PACIFICERE_94-3091348\2022,NULL,NULL,NULL,NULL,NULL,NULL,22136a302236,2,0,0,N,,37418,0,0
"JPW Structural Contracting, Inc.",0,1000000,2000000,Carolinas,05/16/2022,Expired,Div 05 - Metals,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,karenefuller@jpwcompanies.com,6376 Thompson Road,Syracuse,NY,13206,04/30/2024,0,,JPWSTRUCTU_16-1557234\2022,NULL,NULL,NULL,NULL,NULL,NULL,22136a303656,0,0,0,N,,37397,0,0
"Professional Energy Services, LLC dba Bluestream",0,1000000,1000000,Florida,05/19/2022,Finaled,Div 15 - Mechanical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,ed.foran@bluestream.services,224 W Central Parkway Suite 1018,Altamonte Springs,FL,32714,04/30/2025,0,,PROFESSION_84-2387844\2022,NULL,NULL,NULL,NULL,NULL,NULL,22139a305866,0,0,0,N,,37463,0,0
Sundancer Electric Inc.,0,1500000,2500000,Washington,05/21/2022,Expired,Div 16 - Electrical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,mckenzie@sundancerelectric.com,"8041 South 228th Street, Suite 101",Kent,WA,98032,04/30/2023,0,DBE;DVBE;Fed SDB;Fed Small;Fed VET;MOB;Native American;S/DBE;SB;SBE;SDB;SDVOSB;VET;VOSB,SUNDANCERE_45-4778504\2022,NULL,NULL,NULL,NULL,NULL,NULL,22141a302116,0,0,0,N,,37485,0,0
"Coastal Solar Power, LLC",0,0,0,Georgia,05/24/2022,Negotiating,NULL,NULL,NULL,NULL,1,1,1,1,1,1,1,1,1,YES,jenny@coastalsolar.com,229 West General Screven Way Suite N1,Hinesville,GA,31313,NULL,0,,COASTALSOL_47-4675201\2022,NULL,NULL,NULL,NULL,NULL,NULL,22144a306736,0,0,0,N,,37524,0,0
"Bruce Allen Construction Company, LLC",0,3000000,4000000,Carolinas,05/25/2022,Finaled,Div 31 - Earthwork,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,bruce@bruceallencc.com,1915 Evans Road,Cary,NC,27513,04/30/2025,0,SB,BRUCEALLEN_81-5085114\2022,NULL,NULL,NULL,NULL,NULL,NULL,22145a305926,0,0,0,N,,37530,0,0
"USAM DC, LLC.",0,1500000,3000000,"Washington, D.C.",05/31/2022,Expired,Div 06 - Carpentry,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,ibokros@usa-millwork.com,8501 Buckeye Timber Drive,Manassas,VA,20109,04/30/2024,0,,USAMDCLLC_88-1985651\2022,NULL,NULL,NULL,NULL,NULL,NULL,22151a307106,4,0,0,N,,37592,0,0
Patcon Industries Inc.,0,0,0,Carolinas,06/01/2022,Negotiating,Div 04 - Masonry,6/1/2022,6/24/2022,1/6/2023,1,1,1,1,1,1,1,1,1,YES,wpatterson@patconind.com,604 Saddlebrook lane,Hopkins,SC,29061,NULL,0,S/DBE,PATCONINDU_47-3470706\2022,NULL,NULL,NULL,NULL,NULL,NULL,22152a306356,0,0,0,N,,37596,0,0
TREVIICOS Corporation,0,25000000,25000000,"Washington, D.C.",06/01/2022,Expired,Div 31 - Earthwork,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,ksen@treviicos.com,38 Third Avenue 3rd Floor,Charlestown,MA,02129,04/30/2024,0,,TREVIICOSC_04-3350641\2022,NULL,NULL,NULL,NULL,NULL,NULL,22152a307386,0,0,0,N,,37606,0,0
Nicholson Construction Company,0,15000000,15000000,"Washington, D.C.",06/07/2022,Expired,Div 31 - Earthwork,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,marie.roscoe@NicholsonConstruction.com,"2400 Ansys Dr, Ste 303",Canonsburg,PA,15317,04/30/2023,0,,NICHOLSONC_25-1024823\2022,NULL,NULL,NULL,NULL,NULL,NULL,22158a307876,0,0,0,N,,37638,0,0
Coffey Building Group,0,2500000,3000000,California,06/09/2022,Expired,Div 09 - Finishes,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,denisec@coffeybuildinggroup.com,4800 GOLDEN FOOTHILL PARKWAY,El Dorado Hills,CA,95762,04/30/2024,0,WOB,COFFEYBUIL_46-1631628\2022b,NULL,NULL,NULL,NULL,NULL,NULL,22160a308356,0,0,0,N,,37672,0,0
Raynor Company Group,0,2500000,3500000,Florida,06/09/2022,Expired,Div 09 - Finishes,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,kdallmann@theraynorgroup.com,350 Douglas Road E,Oldsmar,FL,34677,04/30/2024,0,,RAYNORCOMP_59-3067646\2022,NULL,NULL,NULL,NULL,NULL,NULL,22160a308416,0,0,0,N,,37680,0,0
"Grey Interiors, LLC",0,2500000,4000000,Carolinas,06/15/2022,Finaled,Div 08 - Doors and Windows,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,cblack@greyintllc.com,261 N. Front Street,Wilmington,NC,28401,04/30/2025,0,,GREYINTERI_46-0972094\2021,NULL,NULL,NULL,NULL,NULL,NULL,22166a308766,0,0,0,N,,37725,0,0
"American Residential Services of Florida, Inc. dba Aspen Air Conditioning",0,2000000,2000000,Florida,06/15/2022,Expired,Div 23 - HVAC,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,pkovac@aspenac.com,3999 N. Dixie Hwy,Boca Raton,FL,33431,04/30/2024,0,,AMERICANRE_59-2473525\2023,NULL,NULL,NULL,NULL,NULL,NULL,22166a308916,0,0,0,N,,37724,0,0
"Mid South Painting, Inc.",0,750000,750000,Florida,06/16/2022,Expired,Div 09 - Finishes,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,richard@midsouthpainting.net,"2077 North Powerline Road, Suite #1",Pompano Beach,FL,33069,04/30/2023,0,WOB,MIDSOUTHPA_59-1875061\2022B,NULL,NULL,NULL,NULL,NULL,NULL,22167a308986,0,0,0,N,,37739,0,0
Grounded Electrical Construction,0,850000,850000,"Washington, D.C.",06/20/2022,Expired,Div 16 - Electrical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,zrothfus@groundedelec.com,504 McCormick Drive Suite C,Glen Burnie,MD,21061,04/30/2023,0,,GROUNDEDEL_46-1331692\2022B,NULL,NULL,NULL,NULL,NULL,NULL,22171a309306,0,0,0,N,,37759,0,0
"CNC Foundations, Inc. dba Helitech, a Division of Slab Masters, Inc.",0,1500000,1500000,Carolinas,06/21/2022,Expired,Div 31 - Earthwork,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,rayv@cncfoundations.com,8259 Bunkum Rd,Caseyville,IL,62232,04/30/2024,0,,CNCFOUNDAT_83-2409946\2022B,NULL,NULL,NULL,NULL,NULL,NULL,22172a300456,0,0,0,N,,37773,0,0
"Technion Contractors T C I, Inc.",0,2000000,2500000,California,06/22/2022,Expired,Div 15 - Mechanical,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,office@technioncontractors.com,7618 Jellico Ave.,Northridge,CA,91325,04/30/2023,0,DBE;Fed Small;Fed WOB;SBE;WOB,TECHNIONCO_20-0793060\2022,NULL,NULL,NULL,NULL,NULL,NULL,22173a309246,0,0,0,N,,37792,0,0
Northwest Woodworks Inc.,0,2000000,4000000,Washington,06/22/2022,Finaled,Div 04 - Masonry,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,YES,dana@nwwi.biz,"15100 Woodinville-Redmond Rd NE, Ste A100",Woodinville,WA,98072,04/30/2025,0,,NORTHWESTW_91-1434793\2022,NULL,NULL,NULL,NULL,NULL,NULL,22173a309486,4,0,0,N,,37795,0,0
"Palmetto Gunite Construction Co., Inc.",0,0,0,Carolinas,06/27/2022,Negotiating,Div 03 - Concrete,7/21/2022,8/24/2022,1/10/2023,1,1,1,1,1,1,1,1,1,Yes,robertcsnow@gmail.com,5330 Savannah Hwy,Ravenel,SC,29470,NULL,0,,PALMETTOGU_57-0731348\2022,NULL,NULL,NULL,NULL,NULL,NULL,22178a294396,1,0,0,N,,37974,0,0
